Player,Nation,Pos,Team,Age,Standard_Min,Standard_Gls,Standard_Ast,Standard_CrdY,Standard_CrdR,Standard_xG,Standard_xAG,Standard_PrgC,Standard_PrgP,Standard_PrgR,Standard_Gls/90,Standard_Ast/90,Standard_xG/90,Standard_xAG/90,Shooting_SoT%,Shooting_SoT/90,Shooting_G/Sh,Shooting_Dist,Passing_Cmp,Passing_Total_Cmp%,Passing_TotDist,Passing_Short_Cmp%,Passing_Medium_Cmp%,Passing_Long_Cmp%,Passing_KP,Passing_1/3,Passing_PPA,Passing_CrsPA,Goalkeeping_GA90,Goalkeeping_Save%,Goalkeeping_CS%,Goalkeeping_Penalty_Save%,Defense_Tkl,Defense_TklW,Defense_Att,Defense_Lost,Defense_Blocks,Defense_Sh,Defense_Pass,Defense_Int,Possession_Touches,Possession_Def Pen,Possession_Def 3rd,Possession_Mid 3rd,Possession_Att 3rd,Possession_Att Pen,Possession_Succ%,Possession_Tkld%,Possession_Carries,Possession_PrgDist,Possession_1/3,Possession_CPA,Possession_Mis,Possession_Dis,Possession_Rec,Misc_Fls,Misc_Fld,Misc_Off,Misc_Crs,Misc_Recov,Misc_Won,Misc_Lost,Misc_Won%,Transfer_Value,Transfer_Value_Str
Harry Maguire,eng ENG,DF,Manchester Utd,32,1483,1,0,7,0,1.4,0.3,6,43,6,0.06,0.0,0.09,0.02,N/A,0.3,0.08,7.9,812,86.2,15170,N/A,N/A,N/A,6,42,3,0,N/A,N/A,N/A,N/A,26,13,N/A,4,14,12,2,37,1117,136,560,509,62,37,N/A,N/A,658,N/A,6,3,6,2,722,17,N/A,1,2,53,51,21,70.8,7.0,€7.0M
Kobbie Mainoo,eng ENG,MF,Manchester Utd,20,1416,0,0,5,0,0.6,1.6,21,56,38,0.0,0.0,0.04,0.1,N/A,0.13,0.0,20.8,627,86.1,8304,N/A,N/A,N/A,14,45,9,0,N/A,N/A,N/A,N/A,39,24,N/A,13,16,2,14,19,924,19,175,523,235,32,N/A,N/A,568,N/A,14,10,30,32,656,26,N/A,2,4,77,18,27,40.0,10.9,€10.9M
Tyrell Malacia,nl NED,DF,Manchester Utd,25,100,0,0,1,0,0.0,0.0,3,3,6,0.0,0.0,0.0,0.03,N/A,0.0,N/A,N/A,49,89.1,642,N/A,N/A,N/A,1,7,1,0,N/A,N/A,N/A,N/A,2,1,N/A,1,0,0,0,1,62,2,20,27,15,0,N/A,N/A,37,N/A,2,0,1,2,43,3,N/A,0,1,3,0,0,N/A,0.5,€0.5M
Donyell Malen,nl NED,FW,Aston Villa,26,273,3,0,0,0,1.7,0.1,9,5,23,0.99,0.0,0.55,0.02,N/A,2.64,0.25,16.3,45,70.3,580,N/A,N/A,N/A,2,2,1,0,N/A,N/A,N/A,N/A,7,4,N/A,3,1,0,1,0,110,2,7,29,80,18,N/A,N/A,63,N/A,5,5,8,6,71,1,N/A,2,7,8,3,4,42.9,2.9,€2.9M
Orel Mangala,be BEL,MF,Everton,27,1261,1,0,2,0,1.1,0.6,6,34,19,0.07,0.0,0.08,0.05,N/A,0.43,0.06,22.1,437,89.2,6998,N/A,N/A,N/A,8,50,8,1,N/A,N/A,N/A,N/A,16,8,N/A,3,8,3,5,21,621,22,133,335,157,13,N/A,N/A,298,N/A,6,3,12,12,406,24,N/A,2,6,49,6,8,42.9,8.4,€8.4M
Ryan Manning,ie IRL,"DF,MF",Southampton,28,1369,0,1,2,0,0.3,3.0,13,32,70,0.0,0.07,0.02,0.2,N/A,0.07,0.0,20.8,572,78.1,9545,N/A,N/A,N/A,30,26,11,8,N/A,N/A,N/A,N/A,28,17,N/A,12,19,11,8,16,884,67,237,360,296,21,N/A,N/A,446,N/A,13,4,17,5,528,19,N/A,0,77,62,13,5,72.2,9.0,€9.0M
Solly March,eng ENG,"FW,MF",Brighton,30,168,0,0,2,0,0.1,0.3,5,2,20,0.0,0.0,0.05,0.15,N/A,0.0,0.0,22.5,60,63.2,990,N/A,N/A,N/A,3,2,4,4,N/A,N/A,N/A,N/A,6,3,N/A,3,3,0,3,2,118,3,12,33,73,7,N/A,N/A,57,N/A,2,3,3,1,67,2,N/A,3,20,7,1,2,33.3,1.5,€1.5M
Omar Marmoush,eg EGY,"FW,MF",Manchester City,26,998,6,0,0,0,4.8,1.7,21,29,68,0.54,0.0,0.43,0.15,N/A,1.44,0.16,18.0,203,78.1,2782,N/A,N/A,N/A,13,8,24,4,N/A,N/A,N/A,N/A,11,6,N/A,8,15,1,14,5,416,3,29,121,271,56,N/A,N/A,262,N/A,15,11,37,15,295,13,N/A,9,25,32,5,8,38.5,11.7,€11.7M
Gabriel Martinelli,br BRA,"FW,MF",Arsenal,23,1956,7,4,1,0,5.9,4.5,106,44,259,0.32,0.18,0.27,0.21,N/A,0.87,0.16,13.0,429,71.0,6240,N/A,N/A,N/A,34,10,30,13,N/A,N/A,N/A,N/A,19,14,N/A,16,10,0,10,4,860,15,83,218,571,162,N/A,N/A,576,N/A,29,55,48,33,655,14,N/A,8,80,70,14,29,32.6,27.0,€27.0M
Emiliano Martínez,ar ARG,GK,Aston Villa,32,2880,0,0,4,0,0.0,0.5,0,3,0,0.0,0.0,0.0,0.02,N/A,0.0,N/A,N/A,986,79.0,25707,N/A,N/A,N/A,2,21,0,0,N/A,N/A,N/A,N/A,3,3,N/A,0,1,0,1,0,1307,990,1292,15,0,0,N/A,N/A,794,N/A,0,0,1,0,718,1,N/A,0,0,28,8,1,88.9,5.7,€5.7M
