Player,Nation,Pos,Team,Age,Standard_Min,Standard_Gls,Standard_Ast,Standard_CrdY,Standard_CrdR,Standard_xG,Standard_xAG,Standard_PrgC,Standard_PrgP,Standard_PrgR,Standard_Gls/90,Standard_Ast/90,Standard_xG/90,Standard_xAG/90,Shooting_SoT%,Shooting_SoT/90,Shooting_G/Sh,Shooting_Dist,Passing_Cmp,Passing_Total_Cmp%,Passing_TotDist,Passing_Short_Cmp%,Passing_Medium_Cmp%,Passing_Long_Cmp%,Passing_KP,Passing_1/3,Passing_PPA,Passing_CrsPA,Goalkeeping_GA90,Goalkeeping_Save%,Goalkeeping_CS%,Goalkeeping_Penalty_Save%,Defense_Tkl,Defense_TklW,Defense_Att,Defense_Lost,Defense_Blocks,Defense_Sh,Defense_Pass,Defense_Int,Possession_Touches,Possession_Def Pen,Possession_Def 3rd,Possession_Mid 3rd,Possession_Att 3rd,Possession_Att Pen,Possession_Succ%,Possession_Tkld%,Possession_Carries,Possession_PrgDist,Possession_1/3,Possession_CPA,Possession_Mis,Possession_Dis,Possession_Rec,Misc_Fls,Misc_Fld,Misc_Off,Misc_Crs,Misc_Recov,Misc_Won,Misc_Lost,Misc_Won%,Transfer_Value,Transfer_Value_Str
Mykhailo Mudryk,ua UKR,FW,Chelsea,24,151,0,0,0,0,0.3,1.0,7,5,12,0.0,0.0,0.15,0.58,N/A,0.6,0.0,11.6,28,66.7,431,N/A,N/A,N/A,2,2,2,1,N/A,N/A,N/A,N/A,2,2,N/A,0,3,1,2,0,62,3,12,15,38,6,N/A,N/A,39,N/A,8,0,3,7,42,2,N/A,1,7,9,2,4,33.3,1.6,€1.6M
Marshall Munetsi,zw ZIM,"MF,FW",Wolves,28,878,1,1,0,0,3.0,1.5,7,8,26,0.1,0.1,0.31,0.15,N/A,0.51,0.07,14.8,125,72.7,1520,N/A,N/A,N/A,7,4,2,1,N/A,N/A,N/A,N/A,21,10,N/A,8,12,1,11,6,302,17,50,161,94,24,N/A,N/A,119,N/A,3,3,28,12,150,15,N/A,3,6,31,24,18,57.1,9.0,€9.0M
Rodrigo Muniz,br BRA,FW,Fulham,23,964,8,1,1,0,5.8,0.7,6,27,31,0.75,0.09,0.54,0.07,N/A,1.77,0.21,12.0,92,64.8,1540,N/A,N/A,N/A,7,13,3,0,N/A,N/A,N/A,N/A,10,5,N/A,0,9,2,7,5,311,14,27,161,127,55,N/A,N/A,157,N/A,4,3,47,24,237,11,N/A,3,1,14,67,63,51.5,12.6,€12.6M
Daniel Muñoz,co COL,DF,Crystal Palace,28,2868,4,4,9,0,4.6,4.4,49,83,183,0.13,0.13,0.14,0.14,N/A,0.38,0.13,12.3,1004,75.8,15308,N/A,N/A,N/A,39,53,31,13,N/A,N/A,N/A,N/A,109,70,N/A,37,35,3,32,39,1788,107,508,743,556,89,N/A,N/A,695,N/A,32,15,50,18,846,47,N/A,13,60,149,56,73,43.4,12.4,€12.4M
Arijanet Muric,xk KVX,GK,Ipswich Town,26,1620,0,0,1,0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,N/A,454,71.7,11705,N/A,N/A,N/A,0,14,0,0,N/A,N/A,N/A,N/A,0,0,N/A,2,0,0,0,0,689,559,672,18,0,0,N/A,N/A,405,N/A,0,0,3,1,321,0,N/A,0,0,26,11,1,91.7,5.3,€5.3M
Murillo,br BRA,DF,Nott'ham Forest,22,2928,1,0,5,0,1.4,1.1,20,102,5,0.03,0.0,0.04,0.03,N/A,0.15,0.04,22.7,1016,77.9,20093,N/A,N/A,N/A,12,116,12,1,N/A,N/A,N/A,N/A,52,36,N/A,19,66,43,23,30,1729,386,888,762,93,20,N/A,N/A,737,N/A,24,1,18,10,875,25,N/A,0,12,129,42,19,68.9,12.0,€12.0M
Jacob Murphy,eng ENG,FW,Newcastle Utd,30,2084,8,11,3,0,5.6,8.1,69,63,210,0.35,0.48,0.24,0.35,N/A,0.65,0.2,18.1,593,68.2,8970,N/A,N/A,N/A,38,46,34,14,N/A,N/A,N/A,N/A,22,15,N/A,14,31,0,31,11,1112,20,158,409,556,83,N/A,N/A,652,N/A,31,24,30,33,802,11,N/A,3,108,88,4,15,21.1,26.3,€26.3M
Vitaliy Mykolenko,ua UKR,DF,Everton,25,2722,0,1,2,0,0.4,1.6,31,102,83,0.0,0.03,0.01,0.05,N/A,0.0,0.0,20.5,874,74.3,14736,N/A,N/A,N/A,20,96,37,22,N/A,N/A,N/A,N/A,54,32,N/A,25,24,9,15,36,1489,112,471,641,388,26,N/A,N/A,608,N/A,26,1,20,10,753,20,N/A,3,86,77,44,36,55.0,11.2,€11.2M
Iliman Ndiaye,sn SEN,FW,Everton,25,2162,7,0,3,0,5.2,1.6,79,45,106,0.29,0.0,0.22,0.07,N/A,0.54,0.16,17.3,514,80.6,7768,N/A,N/A,N/A,17,34,14,5,N/A,N/A,N/A,N/A,47,25,N/A,25,25,4,21,17,956,32,197,397,410,74,N/A,N/A,552,N/A,40,29,48,38,582,21,N/A,5,35,160,5,17,22.7,24.5,€24.5M
Wilfred Ndidi,ng NGA,MF,Leicester City,28,2057,0,4,8,0,1.8,1.8,16,64,74,0.0,0.18,0.08,0.08,N/A,0.35,0.0,14.5,717,79.3,10136,N/A,N/A,N/A,15,61,10,3,N/A,N/A,N/A,N/A,77,46,N/A,26,45,19,26,24,1226,112,410,588,238,58,N/A,N/A,585,N/A,22,2,34,33,720,38,N/A,3,30,114,53,51,51.0,13.8,€13.8M
Kosta Nedeljković,rs SRB,DF,Aston Villa,19,126,0,0,0,0,0.0,0.0,1,6,0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,N/A,47,88.7,853,N/A,N/A,N/A,0,5,0,0,N/A,N/A,N/A,N/A,7,5,N/A,1,1,0,1,0,66,4,15,32,19,0,N/A,N/A,27,N/A,0,0,1,0,32,0,N/A,0,1,4,0,1,0.0,0.8,€0.8M
Reiss Nelson,eng ENG,FW,Fulham,25,487,1,1,1,0,1.1,1.0,45,35,63,0.18,0.18,0.2,0.18,N/A,1.11,0.08,15.4,232,86.6,3429,N/A,N/A,N/A,13,7,15,3,N/A,N/A,N/A,N/A,8,6,N/A,8,11,0,11,5,347,5,30,110,212,35,N/A,N/A,259,N/A,25,21,14,8,274,6,N/A,1,23,29,0,4,0.0,5.2,€5.2M
Neto,br BRA,GK,Bournemouth,35,180,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,N/A,40,64.5,1183,N/A,N/A,N/A,0,2,0,0,N/A,N/A,N/A,N/A,0,0,N/A,0,0,0,0,0,70,60,70,0,0,0,N/A,N/A,35,N/A,0,0,0,0,28,0,N/A,0,0,3,0,0,N/A,0.5,€0.5M
Pedro Neto,pt POR,FW,Chelsea,25,1923,4,4,8,0,2.8,5.4,110,56,220,0.19,0.19,0.13,0.25,N/A,0.75,0.08,18.9,618,78.5,10072,N/A,N/A,N/A,42,28,33,21,N/A,N/A,N/A,N/A,21,9,N/A,11,12,2,10,8,1008,11,87,295,642,102,N/A,N/A,655,N/A,51,38,39,24,734,18,N/A,3,131,70,10,26,27.8,23.8,€23.8M
Eddie Nketiah,eng ENG,"FW,MF",Crystal Palace,25,880,1,1,5,1,4.3,1.5,37,17,65,0.1,0.1,0.44,0.15,N/A,1.23,0.03,14.4,165,75.0,2479,N/A,N/A,N/A,11,11,4,0,N/A,N/A,N/A,N/A,12,5,N/A,6,10,1,9,2,360,10,39,150,178,59,N/A,N/A,211,N/A,22,13,30,15,256,25,N/A,3,5,21,18,31,36.7,9.7,€9.7M
Christopher Nkunku,fr FRA,FW,Chelsea,27,921,3,2,2,0,4.8,2.1,17,25,68,0.29,0.2,0.47,0.21,N/A,1.07,0.12,12.6,299,89.5,3928,N/A,N/A,N/A,14,26,7,0,N/A,N/A,N/A,N/A,12,8,N/A,2,9,2,7,7,448,10,52,183,217,52,N/A,N/A,280,N/A,16,13,18,17,356,16,N/A,3,4,29,16,22,42.1,10.3,€10.3M
Matheus Nunes,pt POR,"DF,MF",Manchester City,26,1494,1,5,4,0,0.9,4.2,59,69,156,0.06,0.3,0.05,0.25,N/A,0.18,0.14,18.3,957,86.3,14863,N/A,N/A,N/A,21,45,25,7,N/A,N/A,N/A,N/A,32,21,N/A,19,14,3,11,13,1267,39,221,494,560,54,N/A,N/A,779,N/A,31,22,29,13,916,28,N/A,6,39,60,13,16,44.8,11.3,€11.3M
Darwin Núñez,uy URU,FW,Liverpool,25,1018,5,2,8,0,5.0,1.2,22,27,67,0.44,0.18,0.44,0.11,N/A,1.06,0.16,14.5,147,70.7,2203,N/A,N/A,N/A,9,9,2,0,N/A,N/A,N/A,N/A,18,15,N/A,10,6,0,6,3,330,10,43,111,186,62,N/A,N/A,178,N/A,17,12,21,17,220,27,N/A,11,2,38,16,29,35.6,12.3,€12.3M
Ethan Nwaneri,eng ENG,"FW,MF",Arsenal,18,816,4,2,1,0,1.1,1.0,44,30,101,0.44,0.22,0.12,0.11,N/A,0.88,0.18,18.2,304,80.2,4385,N/A,N/A,N/A,12,16,13,6,N/A,N/A,N/A,N/A,11,7,N/A,11,8,2,6,2,491,3,43,159,294,39,N/A,N/A,330,N/A,21,16,20,17,358,7,N/A,6,51,33,3,7,30.0,10.8,€10.8M
Christian Nørgaard,dk DEN,MF,Brentford,31,2459,5,2,6,1,3.7,0.8,12,126,34,0.18,0.07,0.14,0.03,N/A,0.4,0.15,14.6,1012,81.7,16748,N/A,N/A,N/A,16,124,23,3,N/A,N/A,N/A,N/A,73,45,N/A,26,48,18,30,43,1572,158,543,751,293,51,N/A,N/A,719,N/A,12,4,31,18,940,39,N/A,1,14,175,42,29,59.2,13.7,€13.7M
Jake O'Brien,ie IRL,DF,Everton,23,1301,2,0,4,0,0.7,0.6,7,41,24,0.14,0.0,0.05,0.04,N/A,0.21,0.4,11.5,461,77.2,8367,N/A,N/A,N/A,6,37,8,5,N/A,N/A,N/A,N/A,20,14,N/A,8,15,4,11,4,745,61,302,313,133,18,N/A,N/A,315,N/A,6,2,5,5,386,11,N/A,3,17,50,33,23,58.9,7.7,€7.7M
Matt O'Riley,dk DEN,MF,Brighton,24,758,1,1,1,0,2.0,1.5,17,33,45,0.12,0.12,0.23,0.18,N/A,0.71,0.05,16.8,271,79.0,4302,N/A,N/A,N/A,16,26,7,0,N/A,N/A,N/A,N/A,15,9,N/A,8,6,3,3,12,437,16,66,194,179,36,N/A,N/A,232,N/A,11,6,14,3,259,11,N/A,1,42,23,4,7,36.4,5.6,€5.6M
Dara O'Shea,ie IRL,DF,Ipswich Town,26,2762,0,2,6,0,1.1,0.5,3,70,7,0.0,0.07,0.04,0.02,N/A,0.07,0.0,13.7,1084,77.7,21631,N/A,N/A,N/A,3,81,3,1,N/A,N/A,N/A,N/A,45,28,N/A,11,59,47,12,31,1797,359,1046,643,113,47,N/A,N/A,795,N/A,2,0,11,4,1018,16,N/A,3,6,98,100,77,56.5,11.0,€11.0M
Wilson Odobert,fr FRA,FW,Tottenham,20,539,0,0,0,0,0.7,0.9,38,19,54,0.0,0.0,0.12,0.15,N/A,0.33,0.0,17.3,166,77.9,2170,N/A,N/A,N/A,5,6,10,3,N/A,N/A,N/A,N/A,8,2,N/A,5,4,0,4,3,291,4,28,103,162,31,N/A,N/A,209,N/A,20,17,15,13,219,0,N/A,0,20,27,3,4,42.9,6.2,€6.2M
Chiedozie Ogbene,ie IRL,FW,Ipswich Town,28,238,0,0,0,0,0.0,0.1,7,0,15,0.0,0.0,0.0,0.03,N/A,0.0,N/A,N/A,32,74.4,415,N/A,N/A,N/A,2,0,0,0,N/A,N/A,N/A,N/A,7,3,N/A,2,1,0,1,1,70,3,11,19,40,6,N/A,N/A,41,N/A,2,2,4,2,43,2,N/A,1,4,6,1,6,14.3,2.3,€2.3M
Caleb Okoli,it ITA,DF,Leicester City,23,1124,1,0,4,0,0.6,0.0,3,32,2,0.08,0.0,0.05,0.0,N/A,0.16,0.25,13.5,558,86.4,9738,N/A,N/A,N/A,0,21,1,0,N/A,N/A,N/A,N/A,25,14,N/A,7,24,14,10,15,804,152,450,324,35,10,N/A,N/A,467,N/A,6,0,10,2,483,16,N/A,0,1,44,23,21,52.3,6.5,€6.5M
Robin Olsen,se SWE,GK,Aston Villa,35,180,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,N/A,54,71.1,1466,N/A,N/A,N/A,0,2,0,0,N/A,N/A,N/A,N/A,1,0,N/A,0,0,0,0,0,83,73,82,1,0,0,N/A,N/A,44,N/A,0,0,0,0,41,0,N/A,0,0,2,0,0,N/A,0.5,€0.5M
Amadou Onana,be BEL,MF,Aston Villa,23,1348,3,0,4,0,2.1,0.3,20,58,13,0.2,0.0,0.14,0.02,N/A,0.4,0.18,14.7,589,88.4,9251,N/A,N/A,N/A,7,52,8,1,N/A,N/A,N/A,N/A,46,24,N/A,10,14,6,8,24,836,60,227,490,132,20,N/A,N/A,459,N/A,20,1,10,9,563,30,N/A,0,1,64,25,18,58.1,10.3,€10.3M
André Onana,cm CMR,GK,Manchester Utd,29,2970,0,0,0,0,0.0,0.2,0,1,0,0.0,0.0,0.0,0.01,N/A,0.0,N/A,N/A,920,73.1,21868,N/A,N/A,N/A,1,24,0,0,N/A,N/A,N/A,N/A,1,1,N/A,2,0,0,0,0,1323,1005,1302,22,0,0,N/A,N/A,932,N/A,0,0,1,0,810,0,N/A,0,0,33,6,0,100.0,6.2,€6.2M
Paul Onuachu,ng NGA,FW,Southampton,30,984,4,1,4,0,3.3,0.5,7,12,39,0.37,0.09,0.3,0.04,N/A,1.28,0.13,10.4,151,61.4,2135,N/A,N/A,N/A,8,13,2,0,N/A,N/A,N/A,N/A,7,2,N/A,4,6,1,5,1,410,15,41,220,152,60,N/A,N/A,198,N/A,5,2,46,33,336,26,N/A,9,0,17,88,54,62.0,10.0,€10.0M
Stefan Ortega,de GER,GK,Manchester City,32,1100,0,0,1,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,N/A,373,81.3,8327,N/A,N/A,N/A,0,6,0,0,N/A,N/A,N/A,N/A,0,0,N/A,1,0,0,0,0,492,383,489,3,0,0,N/A,N/A,323,N/A,0,0,0,0,309,1,N/A,0,0,8,2,0,100.0,3.1,€3.1M
William Osula,dk DEN,FW,Newcastle Utd,21,104,1,0,0,0,0.1,0.1,2,2,12,0.87,0.0,0.1,0.08,N/A,0.87,0.33,14.5,11,61.1,126,N/A,N/A,N/A,1,0,1,0,N/A,N/A,N/A,N/A,1,0,N/A,2,0,0,0,4,41,1,2,17,22,4,N/A,N/A,25,N/A,1,0,5,5,27,2,N/A,1,1,2,4,1,80.0,1.2,€1.2M
Dango Ouattara,bf BFA,FW,Bournemouth,23,1932,7,4,2,0,8.4,5.2,77,41,187,0.33,0.19,0.39,0.24,N/A,0.93,0.11,13.5,354,59.8,5548,N/A,N/A,N/A,32,20,24,10,N/A,N/A,N/A,N/A,34,25,N/A,23,34,9,25,11,930,60,160,298,490,127,N/A,N/A,479,N/A,33,38,60,32,559,15,N/A,14,85,88,43,59,42.2,27.3,€27.3M
Nico O’Reilly,eng ENG,DF,Manchester City,20,513,2,0,0,0,1.3,0.4,16,17,25,0.35,0.0,0.23,0.06,N/A,0.53,0.25,15.4,304,86.9,4026,N/A,N/A,N/A,4,28,1,1,N/A,N/A,N/A,N/A,9,4,N/A,4,5,1,4,4,416,14,70,221,130,18,N/A,N/A,246,N/A,14,0,14,12,296,6,N/A,1,8,29,5,7,41.7,3.3,€3.3M
Alex Palmer,eng ENG,GK,Ipswich Town,28,900,0,0,2,0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,N/A,207,65.5,6495,N/A,N/A,N/A,1,6,0,0,N/A,N/A,N/A,N/A,0,0,N/A,0,0,0,0,0,359,301,353,7,0,0,N/A,N/A,157,N/A,0,0,1,0,112,1,N/A,0,0,14,3,0,100.0,2.8,€2.8M
Cole Palmer,eng ENG,MF,Chelsea,22,2831,14,8,6,0,15.8,9.3,103,194,165,0.45,0.25,0.5,0.3,N/A,1.27,0.1,20.3,1019,76.9,19338,N/A,N/A,N/A,78,145,61,17,N/A,N/A,N/A,N/A,25,16,N/A,13,14,1,13,8,1650,20,133,735,804,126,N/A,N/A,1046,N/A,66,35,61,34,1219,12,N/A,6,133,93,1,7,12.5,23.8,€23.8M
Emerson Palmieri,it ITA,DF,West Ham,30,2015,2,1,5,0,2.0,1.5,44,64,82,0.09,0.04,0.09,0.07,N/A,0.31,0.13,19.0,827,79.9,12096,N/A,N/A,N/A,16,49,13,5,N/A,N/A,N/A,N/A,57,29,N/A,19,32,8,24,20,1277,82,412,532,348,27,N/A,N/A,533,N/A,25,8,24,7,713,24,N/A,0,63,84,16,18,47.1,10.5,€10.5M
Lucas Paquetá,br BRA,"MF,FW",West Ham,27,2257,4,0,8,0,5.2,3.0,20,140,82,0.16,0.0,0.21,0.12,N/A,0.12,0.05,19.6,1047,77.4,17297,N/A,N/A,N/A,35,121,41,4,N/A,N/A,N/A,N/A,63,35,N/A,25,27,4,23,17,1672,58,338,919,428,56,N/A,N/A,862,N/A,31,2,51,50,1181,49,N/A,6,28,140,47,57,45.2,22.5,€22.5M
Thomas Partey,gh GHA,"MF,DF",Arsenal,31,2437,4,2,4,0,2.0,1.9,31,165,45,0.15,0.07,0.07,0.07,N/A,0.26,0.17,19.5,1486,87.7,23752,N/A,N/A,N/A,17,146,33,2,N/A,N/A,N/A,N/A,79,48,N/A,25,23,7,16,32,1928,64,401,1061,477,27,N/A,N/A,1087,N/A,36,3,20,14,1373,39,N/A,1,12,120,26,21,55.3,13.4,€13.4M
Nathan Patterson,sct SCO,DF,Everton,23,266,0,0,0,0,0.1,0.3,5,9,10,0.0,0.0,0.02,0.12,N/A,0.0,0.0,16.8,96,74.4,1635,N/A,N/A,N/A,2,7,4,2,N/A,N/A,N/A,N/A,8,4,N/A,6,2,0,2,1,159,11,46,63,52,4,N/A,N/A,60,N/A,2,2,4,2,81,4,N/A,0,8,9,1,5,16.7,1.5,€1.5M
Andreas Pereira,br BRA,MF,Fulham,29,1879,2,4,7,0,3.5,4.5,27,99,78,0.1,0.19,0.17,0.21,N/A,0.38,0.06,22.1,641,68.9,11658,N/A,N/A,N/A,56,64,19,4,N/A,N/A,N/A,N/A,22,12,N/A,30,16,2,14,8,1096,17,156,446,511,39,N/A,N/A,556,N/A,35,8,26,21,648,27,N/A,1,168,97,12,21,36.4,13.6,€13.6M
Ricardo Pereira,pt POR,DF,Leicester City,31,342,0,0,1,0,0.1,0.0,3,14,5,0.0,0.0,0.02,0.0,N/A,0.26,0.0,17.0,178,82.4,2899,N/A,N/A,N/A,0,18,0,0,N/A,N/A,N/A,N/A,11,6,N/A,6,6,2,4,2,255,14,78,141,37,5,N/A,N/A,132,N/A,3,2,2,0,143,4,N/A,0,3,16,4,2,66.7,1.6,€1.6M
Kalvin Phillips,eng ENG,MF,Ipswich Town,29,1214,0,0,6,1,0.4,0.2,4,49,4,0.0,0.0,0.03,0.02,N/A,0.15,0.0,24.2,426,79.3,8392,N/A,N/A,N/A,5,48,6,1,N/A,N/A,N/A,N/A,34,19,N/A,23,35,6,29,19,722,60,220,388,118,4,N/A,N/A,302,N/A,5,0,24,10,383,28,N/A,0,18,68,7,21,25.0,7.5,€7.5M
Jaden Philogene Bidace,eng ENG,"FW,DF",Ipswich Town,23,474,2,0,1,0,2.0,0.2,13,10,36,0.38,0.0,0.37,0.05,N/A,0.95,0.17,16.4,95,72.5,1536,N/A,N/A,N/A,5,7,4,3,N/A,N/A,N/A,N/A,14,7,N/A,7,11,1,10,10,220,10,53,68,101,18,N/A,N/A,127,N/A,3,5,11,10,133,8,N/A,1,13,23,5,3,62.5,5.3,€5.3M
Jordan Pickford,eng ENG,GK,Everton,31,3060,0,1,7,0,0.0,0.4,0,0,0,0.0,0.03,0.0,0.01,N/A,0.0,N/A,N/A,939,66.2,29916,N/A,N/A,N/A,2,66,8,0,N/A,N/A,N/A,N/A,1,0,N/A,1,0,0,0,1,1518,989,1451,68,0,0,N/A,N/A,861,N/A,0,0,2,0,756,0,N/A,0,0,31,4,1,80.0,6.0,€6.0M
Ethan Pinnock,jm JAM,DF,Brentford,31,1913,2,0,2,0,1.1,1.2,3,41,9,0.09,0.0,0.05,0.05,N/A,0.28,0.2,11.1,924,85.6,17045,N/A,N/A,N/A,8,48,4,1,N/A,N/A,N/A,N/A,35,19,N/A,11,29,18,11,24,1348,294,783,457,109,24,N/A,N/A,633,N/A,4,0,2,4,760,8,N/A,0,9,50,63,43,59.4,9.5,€9.5M
Nick Pope,eng ENG,GK,Newcastle Utd,33,2160,0,0,2,0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,N/A,484,72.5,12485,N/A,N/A,N/A,1,2,0,0,N/A,N/A,N/A,N/A,0,0,N/A,0,1,0,1,1,747,596,737,10,0,0,N/A,N/A,388,N/A,0,0,0,1,263,2,N/A,0,0,19,11,1,91.7,5.5,€5.5M
Pedro Porro,es ESP,DF,Tottenham,25,2463,2,6,4,0,1.5,4.0,63,147,106,0.07,0.22,0.06,0.15,N/A,0.29,0.05,23.1,1324,73.5,23083,N/A,N/A,N/A,54,120,55,26,N/A,N/A,N/A,N/A,63,46,N/A,31,44,17,27,34,2131,124,623,772,749,30,N/A,N/A,1132,N/A,40,5,23,17,1229,24,N/A,1,191,148,11,22,33.3,12.8,€12.8M
Jarell Quansah,eng ENG,DF,Liverpool,22,315,0,0,1,0,0.1,0.1,2,12,4,0.0,0.0,0.03,0.02,N/A,0.0,0.0,8.9,206,90.4,3720,N/A,N/A,N/A,1,18,1,0,N/A,N/A,N/A,N/A,10,7,N/A,2,5,5,0,5,272,36,134,113,25,5,N/A,N/A,165,N/A,3,1,4,2,190,7,N/A,0,2,9,5,8,38.5,1.8,€1.8M
Hákon Rafn Valdimarsson,is ISL,GK,Brentford,23,145,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,N/A,46,65.7,1445,N/A,N/A,N/A,0,2,0,0,N/A,N/A,N/A,N/A,0,0,N/A,0,0,0,0,0,72,60,71,1,0,0,N/A,N/A,44,N/A,0,0,0,0,36,0,N/A,0,0,1,1,0,100.0,0.5,€0.5M
Aaron Ramsdale,eng ENG,GK,Southampton,26,2340,0,0,2,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,N/A,691,64.4,19407,N/A,N/A,N/A,0,32,1,0,N/A,N/A,N/A,N/A,0,0,N/A,2,0,0,0,2,1154,835,1132,25,0,0,N/A,N/A,701,N/A,0,0,2,0,628,1,N/A,0,0,19,5,0,100.0,6.6,€6.6M
Jacob Ramsey,eng ENG,"FW,MF",Aston Villa,23,1485,1,3,2,0,1.4,2.1,57,64,103,0.06,0.18,0.09,0.12,N/A,0.24,0.06,16.1,470,85.5,6225,N/A,N/A,N/A,18,30,20,1,N/A,N/A,N/A,N/A,29,15,N/A,10,21,3,18,7,712,12,134,252,338,66,N/A,N/A,466,N/A,31,19,39,21,542,12,N/A,5,10,74,6,10,37.5,17.3,€17.3M
Marcus Rashford,eng ENG,FW,Aston Villa,27,444,2,2,0,0,3.1,2.3,22,13,42,0.41,0.41,0.62,0.46,N/A,1.01,0.06,19.4,117,71.3,1772,N/A,N/A,N/A,13,2,9,2,N/A,N/A,N/A,N/A,10,7,N/A,2,2,0,2,1,227,2,14,58,159,30,N/A,N/A,127,N/A,10,15,8,1,149,1,N/A,1,28,14,1,8,11.1,4.8,€4.8M
David Raya,es ESP,GK,Arsenal,29,3060,0,0,2,0,0.0,0.0,0,12,0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,N/A,945,74.7,22291,N/A,N/A,N/A,0,39,1,0,N/A,N/A,N/A,N/A,0,0,N/A,2,0,0,0,2,1321,772,1240,81,0,0,N/A,N/A,821,N/A,0,0,1,0,756,1,N/A,0,0,38,10,0,100.0,6.2,€6.2M
Harrison Reed,eng ENG,MF,Fulham,30,93,0,0,2,0,0.2,0.1,1,4,7,0.0,0.0,0.22,0.07,N/A,1.94,0.0,21.7,39,72.2,550,N/A,N/A,N/A,1,1,1,0,N/A,N/A,N/A,N/A,6,3,N/A,2,1,0,1,1,77,2,11,28,39,5,N/A,N/A,31,N/A,1,0,2,2,38,6,N/A,0,5,10,1,2,33.3,0.6,€0.6M
Sergio Reguilón,es ESP,DF,Tottenham,28,123,0,0,2,0,0.1,0.0,4,12,10,0.0,0.0,0.05,0.02,N/A,0.0,0.0,5.4,73,69.5,1144,N/A,N/A,N/A,1,11,2,1,N/A,N/A,N/A,N/A,4,3,N/A,1,4,0,4,2,121,2,28,61,33,3,N/A,N/A,64,N/A,2,1,1,1,74,2,N/A,0,10,9,5,2,71.4,0.6,€0.6M
Declan Rice,eng ENG,MF,Arsenal,26,2572,2,7,7,1,2.7,6.5,87,175,88,0.07,0.24,0.09,0.23,N/A,0.35,0.05,19.7,1285,83.6,21932,N/A,N/A,N/A,55,123,34,5,N/A,N/A,N/A,N/A,49,22,N/A,21,24,11,13,24,1806,71,294,846,683,74,N/A,N/A,960,N/A,54,16,36,29,1182,19,N/A,1,155,139,30,23,56.6,16.3,€16.3M
Chris Richards,us USA,DF,Crystal Palace,25,1562,1,0,4,1,1.2,0.1,5,34,1,0.06,0.0,0.07,0.01,N/A,0.29,0.1,11.8,583,81.1,10347,N/A,N/A,N/A,2,20,0,0,N/A,N/A,N/A,N/A,42,27,N/A,15,35,13,22,10,935,111,513,371,56,15,N/A,N/A,433,N/A,5,0,5,5,525,11,N/A,1,1,48,33,35,48.5,8.7,€8.7M
Richarlison,br BRA,FW,Tottenham,27,408,4,1,2,0,3.6,0.9,8,10,19,0.88,0.22,0.78,0.2,N/A,1.54,0.27,8.4,56,65.1,869,N/A,N/A,N/A,4,7,4,2,N/A,N/A,N/A,N/A,4,3,N/A,1,1,1,0,0,144,8,19,68,58,26,N/A,N/A,72,N/A,8,3,7,7,101,6,N/A,1,7,8,8,17,32.0,4.5,€4.5M
Andrew Robertson,sct SCO,DF,Liverpool,31,2308,0,0,3,1,1.0,4.1,58,165,95,0.0,0.0,0.04,0.16,N/A,0.08,0.0,14.5,1456,83.0,24521,N/A,N/A,N/A,38,144,28,16,N/A,N/A,N/A,N/A,38,22,N/A,17,9,4,5,20,1947,86,500,882,578,50,N/A,N/A,1028,N/A,48,6,25,11,1302,11,N/A,2,136,91,6,12,33.3,9.8,€9.8M
Antonee Robinson,us USA,DF,Fulham,27,2899,0,10,8,0,0.7,4.1,110,120,257,0.0,0.31,0.02,0.13,N/A,0.06,0.0,22.1,1482,76.5,25356,N/A,N/A,N/A,41,109,50,26,N/A,N/A,N/A,N/A,84,56,N/A,43,36,6,30,56,2339,121,741,893,739,65,N/A,N/A,1252,N/A,59,29,40,18,1402,30,N/A,6,158,142,45,25,64.3,12.4,€12.4M
Guido Rodríguez,ar ARG,MF,West Ham,31,1018,0,0,5,0,0.2,0.1,2,31,5,0.0,0.0,0.02,0.01,N/A,0.09,0.0,27.8,419,84.1,7149,N/A,N/A,N/A,3,36,1,0,N/A,N/A,N/A,N/A,30,16,N/A,16,21,9,12,12,617,42,196,366,56,2,N/A,N/A,284,N/A,5,0,2,6,354,15,N/A,1,4,46,8,7,53.3,6.0,€6.0M
