Player,Nation,Pos,Team,Age,Standard_Min,Standard_Gls,Standard_Ast,Standard_CrdY,Standard_CrdR,Standard_xG,Standard_xAG,Standard_PrgC,Standard_PrgP,Standard_PrgR,Standard_Gls/90,Standard_Ast/90,Standard_xG/90,Standard_xAG/90,Shooting_SoT%,Shooting_SoT/90,Shooting_G/Sh,Shooting_Dist,Passing_Cmp,Passing_Total_Cmp%,Passing_TotDist,Passing_Short_Cmp%,Passing_Medium_Cmp%,Passing_Long_Cmp%,Passing_KP,Passing_1/3,Passing_PPA,Passing_CrsPA,Goalkeeping_GA90,Goalkeeping_Save%,Goalkeeping_CS%,Goalkeeping_Penalty_Save%,Defense_Tkl,Defense_TklW,Defense_Att,Defense_Lost,Defense_Blocks,Defense_Sh,Defense_Pass,Defense_Int,Possession_Touches,Possession_Def Pen,Possession_Def 3rd,Possession_Mid 3rd,Possession_Att 3rd,Possession_Att Pen,Possession_Succ%,Possession_Tkld%,Possession_Carries,Possession_PrgDist,Possession_1/3,Possession_CPA,Possession_Mis,Possession_Dis,Possession_Rec,Misc_Fls,Misc_Fld,Misc_Off,Misc_Crs,Misc_Recov,Misc_Won,Misc_Lost,Misc_Won%
André Onana,cm CMR,GK,Manchester Utd,29,2970,0,0,0,0,0.0,0.2,0,1,0,0.0,0.0,0.0,0.01,N/A,0.0,N/A,N/A,920,73.1,21868,N/A,N/A,N/A,1,24,0,0,N/A,N/A,N/A,N/A,1,1,N/A,2,0,0,0,0,1323,1005,1302,22,0,0,N/A,N/A,932,N/A,0,0,1,0,810,0,N/A,0,0,33,6,0,100.0
Paul Onuachu,ng NGA,FW,Southampton,30,1029,4,1,4,0,3.6,0.5,7,13,40,0.35,0.09,0.32,0.04,N/A,1.31,0.12,10.4,156,60.7,2219,N/A,N/A,N/A,8,13,2,0,N/A,N/A,N/A,N/A,7,2,N/A,4,7,2,5,1,428,17,43,228,160,66,N/A,N/A,208,N/A,5,2,49,33,349,28,N/A,9,0,17,90,56,61.6
Stefan Ortega,de GER,GK,Manchester City,32,1100,0,0,1,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,N/A,373,81.3,8327,N/A,N/A,N/A,0,6,0,0,N/A,N/A,N/A,N/A,0,0,N/A,1,0,0,0,0,492,383,489,3,0,0,N/A,N/A,323,N/A,0,0,0,0,309,1,N/A,0,0,8,2,0,100.0
William Osula,dk DEN,FW,Newcastle Utd,21,104,1,0,0,0,0.1,0.1,2,2,12,0.87,0.0,0.1,0.08,N/A,0.87,0.33,14.5,11,61.1,126,N/A,N/A,N/A,1,0,1,0,N/A,N/A,N/A,N/A,1,0,N/A,2,0,0,0,4,41,1,2,17,22,4,N/A,N/A,25,N/A,1,0,5,5,27,2,N/A,1,1,2,4,1,80.0
Dango Ouattara,bf BFA,FW,Bournemouth,23,2005,7,4,3,0,8.4,5.5,79,43,191,0.31,0.18,0.38,0.25,N/A,0.9,0.11,13.5,367,60.0,5725,N/A,N/A,N/A,35,21,26,11,N/A,N/A,N/A,N/A,35,26,N/A,24,36,10,26,11,959,62,165,316,497,128,N/A,N/A,492,N/A,35,38,63,32,577,16,N/A,14,88,92,45,63,41.7
Nico O’Reilly,eng ENG,DF,Manchester City,20,513,2,0,0,0,1.3,0.4,16,17,25,0.35,0.0,0.23,0.06,N/A,0.53,0.25,15.4,304,86.9,4026,N/A,N/A,N/A,4,28,1,1,N/A,N/A,N/A,N/A,9,4,N/A,4,5,1,4,4,416,14,70,221,130,18,N/A,N/A,246,N/A,14,0,14,12,296,6,N/A,1,8,29,5,7,41.7
Alex Palmer,eng ENG,GK,Ipswich Town,28,990,0,0,2,0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,N/A,241,67.7,7340,N/A,N/A,N/A,1,7,0,0,N/A,N/A,N/A,N/A,0,0,N/A,0,0,0,0,0,400,334,393,8,0,0,N/A,N/A,180,N/A,0,0,1,0,132,1,N/A,0,0,15,4,0,100.0
Cole Palmer,eng ENG,MF,Chelsea,23,2921,15,8,6,0,17.0,10.0,110,200,169,0.46,0.25,0.52,0.31,N/A,1.26,0.1,20.2,1044,76.9,19884,N/A,N/A,N/A,82,153,61,17,N/A,N/A,N/A,N/A,27,17,N/A,14,14,1,13,11,1694,20,140,759,817,133,N/A,N/A,1074,N/A,67,39,63,34,1248,13,N/A,6,134,100,1,7,12.5
Emerson Palmieri,it ITA,DF,West Ham,30,2105,2,1,5,0,2.0,1.5,47,66,83,0.09,0.04,0.08,0.06,N/A,0.3,0.13,19.0,859,79.9,12521,N/A,N/A,N/A,16,51,13,5,N/A,N/A,N/A,N/A,60,31,N/A,21,32,8,24,21,1323,82,422,557,359,28,N/A,N/A,553,N/A,25,9,24,7,745,25,N/A,0,64,84,18,20,47.4
Lucas Paquetá,br BRA,"MF,FW",West Ham,27,2336,4,0,9,0,5.2,3.1,22,145,82,0.15,0.0,0.2,0.12,N/A,0.12,0.05,19.6,1088,77.3,18064,N/A,N/A,N/A,36,125,43,4,N/A,N/A,N/A,N/A,66,37,N/A,27,28,4,24,17,1738,62,360,957,435,57,N/A,N/A,891,N/A,32,2,53,50,1220,52,N/A,6,28,146,48,57,45.7
Thomas Partey,gh GHA,"MF,DF",Arsenal,31,2527,4,2,4,0,2.0,1.9,32,171,47,0.14,0.07,0.07,0.07,N/A,0.25,0.17,19.5,1525,87.3,24370,N/A,N/A,N/A,17,151,33,2,N/A,N/A,N/A,N/A,80,49,N/A,28,25,7,18,33,1989,66,418,1098,485,28,N/A,N/A,1125,N/A,37,3,22,16,1416,40,N/A,1,12,123,26,22,54.2
Nathan Patterson,sct SCO,DF,Everton,23,347,0,1,1,0,0.1,0.4,6,13,18,0.0,0.26,0.02,0.11,N/A,0.0,0.0,16.8,130,73.9,2272,N/A,N/A,N/A,4,9,5,3,N/A,N/A,N/A,N/A,11,6,N/A,7,2,0,2,2,215,11,52,90,75,5,N/A,N/A,95,N/A,5,2,4,2,117,6,N/A,0,14,12,1,7,12.5
Andreas Pereira,br BRA,MF,Fulham,29,1879,2,4,7,0,3.5,4.5,27,99,78,0.1,0.19,0.17,0.21,N/A,0.38,0.06,22.1,641,68.9,11658,N/A,N/A,N/A,56,64,19,4,N/A,N/A,N/A,N/A,22,12,N/A,30,16,2,14,8,1096,17,156,446,511,39,N/A,N/A,556,N/A,35,8,26,21,648,27,N/A,1,168,97,12,21,36.4
Ricardo Pereira,pt POR,DF,Leicester City,31,342,0,0,1,0,0.1,0.0,3,14,5,0.0,0.0,0.02,0.0,N/A,0.26,0.0,17.0,178,82.4,2899,N/A,N/A,N/A,0,18,0,0,N/A,N/A,N/A,N/A,11,6,N/A,6,6,2,4,2,255,14,78,141,37,5,N/A,N/A,132,N/A,3,2,2,0,143,4,N/A,0,3,16,4,2,66.7
Kalvin Phillips,eng ENG,MF,Ipswich Town,29,1237,0,0,6,1,0.4,0.2,4,51,4,0.0,0.0,0.03,0.02,N/A,0.15,0.0,24.3,436,79.1,8581,N/A,N/A,N/A,5,49,6,1,N/A,N/A,N/A,N/A,35,19,N/A,24,35,6,29,19,739,61,223,398,122,5,N/A,N/A,310,N/A,5,0,25,10,394,28,N/A,0,20,68,7,22,24.1
Jaden Philogene Bidace,eng ENG,"FW,DF",Ipswich Town,23,474,2,0,1,0,2.0,0.2,13,10,36,0.38,0.0,0.37,0.05,N/A,0.95,0.17,16.4,95,72.5,1536,N/A,N/A,N/A,5,7,4,3,N/A,N/A,N/A,N/A,14,7,N/A,7,11,1,10,10,220,10,53,68,101,18,N/A,N/A,127,N/A,3,5,11,10,133,8,N/A,1,13,23,5,3,62.5
Jordan Pickford,eng ENG,GK,Everton,31,3150,0,1,7,0,0.0,0.4,0,0,0,0.0,0.03,0.0,0.01,N/A,0.0,N/A,N/A,971,66.5,30852,N/A,N/A,N/A,2,68,8,0,N/A,N/A,N/A,N/A,1,0,N/A,1,0,0,0,1,1561,1009,1494,68,0,0,N/A,N/A,895,N/A,0,0,2,0,788,0,N/A,0,0,31,4,1,80.0
Ethan Pinnock,jm JAM,DF,Brentford,31,1913,2,0,2,0,1.1,1.2,3,41,9,0.09,0.0,0.05,0.05,N/A,0.28,0.2,11.1,924,85.6,17045,N/A,N/A,N/A,8,48,4,1,N/A,N/A,N/A,N/A,35,19,N/A,11,29,18,11,24,1348,294,783,457,109,24,N/A,N/A,633,N/A,4,0,2,4,760,8,N/A,0,9,50,63,43,59.4
Nick Pope,eng ENG,GK,Newcastle Utd,33,2250,0,0,2,0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,N/A,504,72.8,12978,N/A,N/A,N/A,1,2,0,0,N/A,N/A,N/A,N/A,0,0,N/A,0,1,0,1,1,773,612,762,11,0,0,N/A,N/A,397,N/A,0,0,0,1,273,2,N/A,0,0,21,11,1,91.7
Pedro Porro,es ESP,DF,Tottenham,25,2463,2,6,4,0,1.5,4.0,63,147,106,0.07,0.22,0.06,0.15,N/A,0.29,0.05,23.1,1324,73.5,23083,N/A,N/A,N/A,54,120,55,26,N/A,N/A,N/A,N/A,63,46,N/A,31,44,17,27,34,2131,124,623,772,749,30,N/A,N/A,1132,N/A,40,5,23,17,1229,24,N/A,1,191,148,11,22,33.3
Jarell Quansah,eng ENG,DF,Liverpool,22,405,0,0,2,0,0.1,0.1,2,16,4,0.0,0.0,0.02,0.02,N/A,0.0,0.0,8.9,293,91.0,5236,N/A,N/A,N/A,1,21,1,0,N/A,N/A,N/A,N/A,11,8,N/A,2,8,7,1,6,377,47,191,160,26,5,N/A,N/A,220,N/A,3,1,5,2,266,9,N/A,0,2,16,6,10,37.5
Hákon Rafn Valdimarsson,is ISL,GK,Brentford,23,145,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,N/A,46,65.7,1445,N/A,N/A,N/A,0,2,0,0,N/A,N/A,N/A,N/A,0,0,N/A,0,0,0,0,0,72,60,71,1,0,0,N/A,N/A,44,N/A,0,0,0,0,36,0,N/A,0,0,1,1,0,100.0
Aaron Ramsdale,eng ENG,GK,Southampton,26,2430,0,0,2,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,N/A,715,64.6,20052,N/A,N/A,N/A,0,33,1,0,N/A,N/A,N/A,N/A,0,0,N/A,2,0,0,0,2,1189,860,1166,26,0,0,N/A,N/A,723,N/A,0,0,3,0,646,1,N/A,0,0,20,5,0,100.0
Jacob Ramsey,eng ENG,"FW,MF",Aston Villa,23,1516,1,3,2,0,1.5,2.3,57,67,105,0.06,0.18,0.09,0.13,N/A,0.24,0.06,16.7,479,85.4,6395,N/A,N/A,N/A,20,31,21,1,N/A,N/A,N/A,N/A,30,15,N/A,10,21,3,18,7,726,12,136,259,344,67,N/A,N/A,474,N/A,31,19,39,21,552,12,N/A,5,10,77,6,10,37.5
Marcus Rashford,eng ENG,FW,Aston Villa,27,444,2,2,0,0,3.1,2.3,22,13,42,0.41,0.41,0.62,0.46,N/A,1.01,0.06,19.4,117,71.3,1772,N/A,N/A,N/A,13,2,9,2,N/A,N/A,N/A,N/A,10,7,N/A,2,2,0,2,1,227,2,14,58,159,30,N/A,N/A,127,N/A,10,15,8,1,149,1,N/A,1,28,14,1,8,11.1
David Raya,es ESP,GK,Arsenal,29,3150,0,0,2,0,0.0,0.0,0,13,0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,N/A,979,74.6,23137,N/A,N/A,N/A,0,41,2,0,N/A,N/A,N/A,N/A,0,0,N/A,2,0,0,0,2,1367,802,1284,83,0,0,N/A,N/A,856,N/A,0,0,1,0,789,1,N/A,0,0,38,10,0,100.0
Harrison Reed,eng ENG,MF,Fulham,30,109,0,0,2,0,0.2,0.1,1,4,7,0.0,0.0,0.21,0.07,N/A,1.65,0.0,21.7,39,70.9,550,N/A,N/A,N/A,1,1,1,0,N/A,N/A,N/A,N/A,6,3,N/A,2,1,0,1,1,78,2,11,28,40,5,N/A,N/A,31,N/A,1,0,2,2,38,6,N/A,0,6,10,1,2,33.3
Sergio Reguilón,es ESP,DF,Tottenham,28,123,0,0,2,0,0.1,0.0,4,12,10,0.0,0.0,0.05,0.02,N/A,0.0,0.0,5.4,73,69.5,1144,N/A,N/A,N/A,1,11,2,1,N/A,N/A,N/A,N/A,4,3,N/A,1,4,0,4,2,121,2,28,61,33,3,N/A,N/A,64,N/A,2,1,1,1,74,2,N/A,0,10,9,5,2,71.4
Declan Rice,eng ENG,MF,Arsenal,26,2645,3,7,7,1,3.3,6.5,88,180,92,0.1,0.24,0.11,0.22,N/A,0.37,0.07,19.3,1304,83.5,22238,N/A,N/A,N/A,56,126,35,5,N/A,N/A,N/A,N/A,52,24,N/A,21,24,11,13,25,1839,71,302,863,693,77,N/A,N/A,977,N/A,54,16,36,29,1204,20,N/A,2,157,143,31,24,56.4
Chris Richards,us USA,DF,Crystal Palace,25,1652,1,0,4,1,1.3,0.1,5,35,1,0.05,0.0,0.07,0.01,N/A,0.27,0.09,11.4,609,80.2,10779,N/A,N/A,N/A,2,22,1,1,N/A,N/A,N/A,N/A,44,28,N/A,15,36,13,23,15,985,113,527,397,67,18,N/A,N/A,453,N/A,5,0,5,5,547,11,N/A,1,3,49,38,38,50.0
Richarlison,br BRA,FW,Tottenham,27,475,4,1,2,0,3.7,0.9,8,11,22,0.76,0.19,0.7,0.17,N/A,1.33,0.24,9.1,60,63.2,907,N/A,N/A,N/A,4,8,4,2,N/A,N/A,N/A,N/A,4,3,N/A,2,1,1,0,0,161,8,19,81,62,29,N/A,N/A,87,N/A,8,3,9,8,118,6,N/A,3,7,10,9,22,29.0
Andrew Robertson,sct SCO,DF,Liverpool,31,2308,0,0,3,1,1.0,4.1,58,165,95,0.0,0.0,0.04,0.16,N/A,0.08,0.0,14.5,1456,83.0,24521,N/A,N/A,N/A,38,144,28,16,N/A,N/A,N/A,N/A,38,22,N/A,17,9,4,5,20,1947,86,500,882,578,50,N/A,N/A,1028,N/A,48,6,25,11,1302,11,N/A,2,136,91,6,12,33.3
Antonee Robinson,us USA,DF,Fulham,27,2989,0,10,8,0,0.7,4.1,114,123,265,0.0,0.3,0.02,0.12,N/A,0.06,0.0,22.1,1523,76.6,26058,N/A,N/A,N/A,42,113,54,28,N/A,N/A,N/A,N/A,90,57,N/A,45,37,7,30,57,2404,128,765,911,763,67,N/A,N/A,1278,N/A,60,29,41,18,1440,31,N/A,6,165,148,45,25,64.3
Guido Rodríguez,ar ARG,MF,West Ham,31,1018,0,0,5,0,0.2,0.1,2,31,5,0.0,0.0,0.02,0.01,N/A,0.09,0.0,27.8,419,84.1,7149,N/A,N/A,N/A,3,36,1,0,N/A,N/A,N/A,N/A,30,16,N/A,16,21,9,12,12,617,42,196,366,56,2,N/A,N/A,284,N/A,5,0,2,6,354,15,N/A,1,4,46,8,7,53.3
Mads Roerslev,dk DEN,DF,Brentford,25,1101,0,2,2,0,0.2,3.0,17,51,54,0.0,0.16,0.02,0.24,N/A,0.16,0.0,20.8,422,78.7,6925,N/A,N/A,N/A,14,37,11,4,N/A,N/A,N/A,N/A,18,8,N/A,17,12,5,7,4,645,49,234,268,146,20,N/A,N/A,352,N/A,13,0,9,6,407,6,N/A,0,31,39,10,14,41.7
Morgan Rogers,eng ENG,"FW,MF",Aston Villa,22,2853,8,8,9,0,6.2,7.4,108,117,177,0.25,0.25,0.2,0.23,N/A,0.6,0.15,15.9,628,73.9,9245,N/A,N/A,N/A,48,71,52,2,N/A,N/A,N/A,N/A,36,18,N/A,20,25,7,18,5,1269,36,185,557,553,135,N/A,N/A,744,N/A,64,33,104,68,897,46,N/A,2,22,108,11,43,20.4
Cristian Romero,ar ARG,DF,Tottenham,27,1416,1,0,3,0,1.6,0.6,12,71,3,0.06,0.0,0.1,0.04,N/A,0.51,0.06,9.1,1094,89.5,20402,N/A,N/A,N/A,7,109,8,1,N/A,N/A,N/A,N/A,35,29,N/A,9,18,3,15,21,1377,157,594,720,74,23,N/A,N/A,896,N/A,18,0,10,5,936,14,N/A,2,3,90,41,27,60.3
Georginio Rutter,fr FRA,"MF,FW",Brighton,23,1656,5,3,2,0,4.6,2.5,42,67,79,0.27,0.16,0.25,0.14,N/A,0.65,0.1,15.5,237,66.8,3344,N/A,N/A,N/A,19,30,16,1,N/A,N/A,N/A,N/A,39,15,N/A,22,20,3,17,10,641,20,83,246,326,79,N/A,N/A,361,N/A,36,16,45,37,411,34,N/A,7,9,66,25,46,35.2
José Sá,pt POR,GK,Wolves,32,2430,0,0,2,0,0.0,0.1,0,2,0,0.0,0.0,0.0,0.01,N/A,0.0,N/A,N/A,544,63.8,14150,N/A,N/A,N/A,2,18,1,0,N/A,N/A,N/A,N/A,2,2,N/A,0,0,0,0,0,911,725,903,9,0,0,N/A,N/A,565,N/A,0,0,1,0,450,4,N/A,0,0,31,9,1,90.0
Bukayo Saka,eng ENG,"FW,MF",Arsenal,23,1539,6,10,3,0,6.3,6.8,82,62,233,0.35,0.58,0.37,0.4,N/A,1.17,0.09,15.5,488,75.2,7524,N/A,N/A,N/A,50,13,32,10,N/A,N/A,N/A,N/A,24,13,N/A,11,21,0,21,3,875,6,52,192,639,146,N/A,N/A,558,N/A,28,45,29,38,635,14,N/A,5,110,65,8,19,29.6
Mohamed Salah,eg EGY,FW,Liverpool,32,3101,28,18,1,0,24.0,13.2,143,133,440,0.81,0.52,0.7,0.38,N/A,1.36,0.17,14.7,833,71.2,12448,N/A,N/A,N/A,82,49,86,14,N/A,N/A,N/A,N/A,20,11,N/A,9,11,0,11,7,1568,10,90,474,1023,327,N/A,N/A,1079,N/A,54,115,109,63,1313,22,N/A,16,72,95,9,12,42.9
William Saliba,fr FRA,DF,Arsenal,24,2904,2,0,2,1,2.3,0.9,16,134,6,0.06,0.0,0.07,0.03,N/A,0.06,0.33,5.4,2320,94.2,39927,N/A,N/A,N/A,7,175,6,0,N/A,N/A,N/A,N/A,60,36,N/A,6,24,15,9,21,2717,178,1072,1519,141,18,N/A,N/A,1675,N/A,17,1,18,7,2056,28,N/A,1,3,146,58,35,62.4
Robert Sánchez,es ESP,GK,Chelsea,27,2610,0,0,5,0,0.0,0.1,0,1,0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,N/A,810,71.7,19431,N/A,N/A,N/A,2,25,1,0,N/A,N/A,N/A,N/A,0,0,N/A,1,0,0,0,2,1197,883,1186,11,0,0,N/A,N/A,805,N/A,0,0,0,0,751,2,N/A,0,0,41,9,0,100.0
Jadon Sancho,eng ENG,FW,Chelsea,25,1687,3,4,2,0,2.2,3.6,98,87,218,0.16,0.21,0.12,0.19,N/A,0.43,0.13,15.1,631,82.5,8571,N/A,N/A,N/A,36,26,47,0,N/A,N/A,N/A,N/A,10,6,N/A,7,9,0,9,2,926,11,115,269,552,119,N/A,N/A,626,N/A,33,56,29,21,726,6,N/A,6,23,97,5,10,33.3
Ibrahim Sangaré,ci CIV,MF,Nott'ham Forest,27,370,0,1,3,0,0.0,0.4,0,16,3,0.0,0.24,0.0,0.09,N/A,0.24,0.0,32.0,169,82.0,2544,N/A,N/A,N/A,4,18,2,0,N/A,N/A,N/A,N/A,19,11,N/A,8,8,3,5,3,261,14,65,158,40,7,N/A,N/A,101,N/A,2,0,4,1,146,11,N/A,0,0,29,6,9,40.0
Pablo Sarabia,es ESP,"MF,FW",Wolves,32,716,3,2,3,0,2.9,1.6,12,51,52,0.38,0.25,0.36,0.2,N/A,1.01,0.18,18.9,260,70.1,4467,N/A,N/A,N/A,13,36,17,2,N/A,N/A,N/A,N/A,15,8,N/A,5,10,0,10,4,465,4,53,227,188,23,N/A,N/A,272,N/A,14,0,16,12,321,14,N/A,5,40,29,4,12,25.0
Ismaila Sarr,sn SEN,"MF,FW",Crystal Palace,27,2482,7,4,4,0,9.1,7.1,69,79,169,0.25,0.15,0.33,0.26,N/A,0.91,0.14,13.2,459,66.2,6835,N/A,N/A,N/A,39,27,39,9,N/A,N/A,N/A,N/A,21,10,N/A,16,24,8,16,9,1007,43,165,377,475,124,N/A,N/A,555,N/A,42,26,64,42,684,13,N/A,11,55,103,32,46,41.0
Sávio,br BRA,"FW,MF",Manchester City,21,1734,1,8,3,0,4.9,6.8,133,66,239,0.05,0.42,0.25,0.35,N/A,1.09,0.02,17.7,676,80.9,10078,N/A,N/A,N/A,44,19,47,8,N/A,N/A,N/A,N/A,22,16,N/A,9,13,2,11,6,1071,14,55,281,754,149,N/A,N/A,766,N/A,44,73,42,37,834,17,N/A,3,81,79,1,2,33.3
Oliver Scarles,eng ENG,DF,West Ham,19,594,0,0,1,0,0.1,0.0,11,21,39,0.0,0.0,0.02,0.0,N/A,0.0,0.0,20.2,260,78.1,3880,N/A,N/A,N/A,1,9,5,1,N/A,N/A,N/A,N/A,17,11,N/A,8,14,2,12,10,420,27,140,166,118,7,N/A,N/A,190,N/A,9,1,10,3,243,4,N/A,1,13,33,5,5,50.0
Kevin Schade,de GER,FW,Brentford,23,2069,10,2,3,0,7.7,3.4,56,32,146,0.43,0.09,0.33,0.15,N/A,1.0,0.2,11.6,290,58.2,4497,N/A,N/A,N/A,20,29,9,3,N/A,N/A,N/A,N/A,35,23,N/A,8,17,2,15,5,804,37,135,221,463,129,N/A,N/A,399,N/A,26,35,54,34,497,20,N/A,13,36,78,81,65,55.5
Fabian Schär,ch SUI,DF,Newcastle Utd,33,2664,4,0,7,1,2.4,0.4,14,102,18,0.14,0.0,0.08,0.01,N/A,0.34,0.13,21.2,1518,83.8,30536,N/A,N/A,N/A,5,145,10,0,N/A,N/A,N/A,N/A,34,21,N/A,20,37,24,13,41,2111,239,1089,900,133,33,N/A,N/A,1331,N/A,23,2,11,6,1474,32,N/A,4,10,125,46,61,43.0
Jeffrey Schlupp,gh GHA,"MF,DF",Crystal Palace,32,103,0,0,0,0,0.2,0.2,4,5,9,0.0,0.0,0.14,0.14,N/A,1.75,0.0,17.7,39,78.0,591,N/A,N/A,N/A,3,4,2,0,N/A,N/A,N/A,N/A,2,0,N/A,3,6,0,6,0,79,2,9,31,41,6,N/A,N/A,30,N/A,1,1,7,0,41,1,N/A,0,4,6,3,4,42.9
Alex Scott,eng ENG,MF,Bournemouth,21,709,0,0,2,0,0.7,0.8,15,49,33,0.0,0.0,0.08,0.11,N/A,0.63,0.0,20.0,265,83.1,4257,N/A,N/A,N/A,11,37,4,0,N/A,N/A,N/A,N/A,26,13,N/A,22,17,4,13,10,456,22,84,245,133,18,N/A,N/A,237,N/A,9,3,22,8,274,13,N/A,0,6,50,7,7,50.0
Matz Sels,be BEL,GK,Nott'ham Forest,33,3150,0,0,4,0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,N/A,472,51.1,17926,N/A,N/A,N/A,1,42,3,0,N/A,N/A,N/A,N/A,1,1,N/A,0,0,0,0,0,1018,777,1002,16,0,0,N/A,N/A,489,N/A,1,1,0,0,392,1,N/A,0,0,11,14,2,87.5
Nélson Semedo,pt POR,DF,Wolves,31,2661,0,4,7,0,0.8,2.7,61,70,109,0.0,0.14,0.03,0.09,N/A,0.2,0.0,23.4,973,80.1,14811,N/A,N/A,N/A,21,63,25,11,N/A,N/A,N/A,N/A,58,34,N/A,23,28,10,18,23,1551,116,446,707,416,24,N/A,N/A,790,N/A,36,9,40,19,882,44,N/A,4,58,121,27,41,39.7
Antoine Semenyo,gh GHA,FW,Bournemouth,25,2933,9,5,9,0,9.3,5.8,133,106,259,0.28,0.15,0.29,0.18,N/A,1.14,0.08,17.2,737,73.2,10554,N/A,N/A,N/A,45,48,44,8,N/A,N/A,N/A,N/A,53,34,N/A,26,59,8,51,10,1503,44,187,526,824,176,N/A,N/A,904,N/A,65,65,79,72,1041,66,N/A,14,52,150,61,72,45.9
Marcos Senesi,ar ARG,DF,Bournemouth,27,1014,0,0,5,0,0.8,0.2,12,51,5,0.0,0.0,0.07,0.02,N/A,0.0,0.0,6.0,493,76.6,10211,N/A,N/A,N/A,3,73,12,3,N/A,N/A,N/A,N/A,35,21,N/A,16,15,7,8,11,783,67,349,376,67,12,N/A,N/A,483,N/A,14,0,6,5,493,19,N/A,0,10,67,23,27,46.0
Ryan Sessegnon,eng ENG,"FW,DF",Fulham,24,470,4,2,1,0,1.6,1.0,14,14,51,0.77,0.38,0.3,0.18,N/A,1.34,0.31,12.6,124,76.5,1764,N/A,N/A,N/A,10,7,3,1,N/A,N/A,N/A,N/A,21,11,N/A,9,11,0,11,3,260,10,58,83,124,38,N/A,N/A,129,N/A,11,9,14,6,149,16,N/A,1,13,25,8,10,44.4
Luke Shaw,eng ENG,DF,Manchester Utd,29,218,0,0,1,0,0.0,0.7,6,18,7,0.0,0.0,0.01,0.29,N/A,0.0,0.0,23.1,178,83.6,2931,N/A,N/A,N/A,5,12,3,1,N/A,N/A,N/A,N/A,4,3,N/A,0,2,1,1,2,234,15,92,105,37,4,N/A,N/A,170,N/A,6,0,2,0,183,2,N/A,0,9,9,3,2,60.0
Bernardo Silva,pt POR,"MF,FW",Manchester City,30,2401,3,4,7,0,3.2,4.4,94,115,184,0.11,0.15,0.12,0.16,N/A,0.37,0.11,12.9,1370,87.1,20876,N/A,N/A,N/A,47,75,33,7,N/A,N/A,N/A,N/A,52,34,N/A,28,33,7,26,20,1816,48,318,739,777,131,N/A,N/A,1137,N/A,60,31,21,32,1346,26,N/A,3,54,93,5,10,33.3
Jota Silva,pt POR,"FW,MF",Nott'ham Forest,25,844,3,1,5,0,2.0,2.9,20,18,58,0.32,0.11,0.22,0.31,N/A,0.75,0.14,14.5,115,60.5,1635,N/A,N/A,N/A,14,4,9,3,N/A,N/A,N/A,N/A,25,13,N/A,20,9,1,8,12,347,19,82,98,178,45,N/A,N/A,172,N/A,12,8,24,12,198,24,N/A,8,21,42,21,27,43.8
Jahmai Simpson-Pusey,eng ENG,DF,Manchester City,19,96,0,0,1,0,0.0,0.0,1,3,0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,N/A,107,93.0,1754,N/A,N/A,N/A,0,3,0,0,N/A,N/A,N/A,N/A,1,0,N/A,1,1,1,0,0,123,9,61,59,3,1,N/A,N/A,79,N/A,0,0,1,0,101,0,N/A,0,0,3,1,3,25.0
Luis Sinisterra,co COL,"FW,MF",Bournemouth,25,236,1,1,0,0,1.2,1.4,19,6,38,0.38,0.38,0.46,0.54,N/A,2.29,0.08,14.8,73,78.5,1067,N/A,N/A,N/A,9,6,2,2,N/A,N/A,N/A,N/A,7,2,N/A,4,3,0,3,1,155,7,18,41,96,23,N/A,N/A,95,N/A,6,10,6,3,102,4,N/A,1,7,17,3,7,30.0
Oliver Skipp,eng ENG,MF,Leicester City,24,996,0,0,8,0,0.2,0.3,16,31,19,0.0,0.0,0.01,0.02,N/A,0.09,0.0,21.0,392,85.0,5965,N/A,N/A,N/A,9,30,4,0,N/A,N/A,N/A,N/A,20,4,N/A,6,17,4,13,10,557,24,121,350,90,7,N/A,N/A,321,N/A,7,3,11,5,390,19,N/A,0,5,40,10,6,62.5
William Smallbone,ie IRL,MF,Southampton,25,646,1,0,1,0,0.4,0.6,5,25,23,0.14,0.0,0.06,0.09,N/A,0.14,0.17,19.3,257,77.6,4218,N/A,N/A,N/A,9,11,3,2,N/A,N/A,N/A,N/A,18,11,N/A,14,8,0,8,2,401,15,76,198,131,14,N/A,N/A,182,N/A,9,1,11,5,243,11,N/A,0,34,23,4,2,66.7
