Player,Nation,Pos,Team,Age,Standard_Min,Standard_Gls,Standard_Ast,Standard_CrdY,Standard_CrdR,Standard_xG,Standard_xAG,Standard_PrgC,Standard_PrgP,Standard_PrgR,Standard_Gls/90,Standard_Ast/90,Standard_xG/90,Standard_xAG/90,Shooting_SoT%,Shooting_SoT/90,Shooting_G/Sh,Shooting_Dist,Passing_Cmp,Passing_Total_Cmp%,Passing_TotDist,Passing_Short_Cmp%,Passing_Medium_Cmp%,Passing_Long_Cmp%,Passing_KP,Passing_1/3,Passing_PPA,Passing_CrsPA,Goalkeeping_GA90,Goalkeeping_Save%,Goalkeeping_CS%,Goalkeeping_Penalty_Save%,Defense_Tkl,Defense_TklW,Defense_Att,Defense_Lost,Defense_Blocks,Defense_Sh,Defense_Pass,Defense_Int,Possession_Touches,Possession_Def Pen,Possession_Def 3rd,Possession_Mid 3rd,Possession_Att 3rd,Possession_Att Pen,Possession_Succ%,Possession_Tkld%,Possession_Carries,Possession_PrgDist,Possession_1/3,Possession_CPA,Possession_Mis,Possession_Dis,Possession_Rec,Misc_Fls,Misc_Fld,Misc_Off,Misc_Crs,Misc_Recov,Misc_Won,Misc_Lost,Misc_Won%
Mikel Merino,es ESP,"MF,FW",Arsenal,28,1418,6,2,2,0,4.4,1.9,9,62,88,0.38,0.13,0.28,0.12,N/A,0.76,0.19,10.5,422,78.0,5811,N/A,N/A,N/A,15,34,24,4,N/A,N/A,N/A,N/A,38,22,N/A,14,18,5,13,14,724,35,130,303,300,72,N/A,N/A,357,N/A,12,4,22,22,470,36,N/A,7,12,78,57,52,52.3
Nikola Milenković,rs SRB,DF,Nott'ham Forest,27,3060,4,2,4,0,3.6,1.0,3,49,6,0.12,0.06,0.1,0.03,N/A,0.21,0.15,12.1,748,81.2,15092,N/A,N/A,N/A,8,48,2,0,N/A,N/A,N/A,N/A,43,26,N/A,6,40,24,16,25,1268,242,700,490,82,59,N/A,N/A,486,N/A,3,2,2,2,638,18,N/A,1,0,75,96,37,72.2
Lewis Miley,eng ENG,MF,Newcastle Utd,19,249,1,0,0,0,0.5,0.0,2,14,7,0.36,0.0,0.2,0.01,N/A,0.72,0.33,14.6,142,87.7,2084,N/A,N/A,N/A,1,10,4,0,N/A,N/A,N/A,N/A,11,9,N/A,5,5,1,4,2,198,5,37,105,57,5,N/A,N/A,96,N/A,1,0,5,1,141,3,N/A,0,0,16,5,5,50.0
James Milner,eng ENG,MF,Brighton,39,169,0,0,1,0,0.2,0.2,1,10,10,0.0,0.0,0.09,0.12,N/A,0.0,0.0,16.0,55,75.3,899,N/A,N/A,N/A,4,3,1,1,N/A,N/A,N/A,N/A,5,2,N/A,0,4,2,2,2,92,3,13,48,31,4,N/A,N/A,46,N/A,1,0,0,0,58,3,N/A,0,8,2,0,1,0.0
Tyrone Mings,eng ENG,DF,Aston Villa,32,1051,0,0,1,0,0.8,0.2,6,39,0,0.0,0.0,0.07,0.02,N/A,0.09,0.0,11.8,581,88.6,10405,N/A,N/A,N/A,3,47,5,0,N/A,N/A,N/A,N/A,6,5,N/A,0,13,11,2,7,767,139,388,340,43,15,N/A,N/A,472,N/A,12,0,3,1,523,3,N/A,0,1,33,26,21,55.3
Yankuba Minteh,gm GAM,"FW,MF",Brighton,20,1587,6,4,6,0,4.0,4.7,71,40,163,0.34,0.23,0.22,0.27,N/A,0.85,0.2,13.5,297,62.3,4794,N/A,N/A,N/A,25,13,29,8,N/A,N/A,N/A,N/A,45,32,N/A,28,20,0,20,11,723,30,129,204,408,121,N/A,N/A,410,N/A,19,56,44,21,423,20,N/A,4,76,75,16,32,33.3
Tyrick Mitchell,eng ENG,DF,Crystal Palace,25,2942,0,4,2,0,1.2,5.7,56,64,166,0.0,0.12,0.04,0.18,N/A,0.06,0.0,13.4,929,72.3,14968,N/A,N/A,N/A,38,46,32,15,N/A,N/A,N/A,N/A,87,54,N/A,20,62,12,50,14,1656,108,573,637,459,42,N/A,N/A,766,N/A,33,9,36,28,850,20,N/A,2,100,156,18,21,46.2
Kaoru Mitoma,jp JPN,"FW,MF",Brighton,27,2521,9,3,1,0,8.8,4.4,138,82,277,0.32,0.11,0.31,0.16,N/A,0.89,0.17,13.9,701,75.3,9130,N/A,N/A,N/A,35,34,32,8,N/A,N/A,N/A,N/A,43,26,N/A,28,46,3,43,13,1300,15,149,445,734,156,N/A,N/A,786,N/A,76,55,49,22,911,39,N/A,5,72,92,24,27,47.1
Mikey Moore,eng ENG,FW,Tottenham,17,208,0,1,0,0,0.2,0.3,9,7,31,0.0,0.43,0.09,0.15,N/A,0.0,0.0,19.5,52,70.3,645,N/A,N/A,N/A,3,1,5,1,N/A,N/A,N/A,N/A,0,0,N/A,1,1,0,1,1,105,1,11,27,68,12,N/A,N/A,76,N/A,3,4,6,5,79,3,N/A,3,14,8,1,4,20.0
Morato,br BRA,DF,Nott'ham Forest,23,809,0,0,3,0,0.2,0.0,0,14,1,0.0,0.0,0.02,0.0,N/A,0.11,0.0,8.6,184,74.2,3109,N/A,N/A,N/A,0,11,0,0,N/A,N/A,N/A,N/A,21,13,N/A,7,12,4,8,10,387,83,239,131,19,2,N/A,N/A,125,N/A,2,0,6,3,161,10,N/A,0,0,31,5,13,27.8
